,musicId,y_test,SVR
19765,1001,-0.002,0.05859206663491175
19766,1001,0.004,0.016725380498338015
19767,1001,0.007,-0.03185008086595296
19768,1001,0.022,-0.04968270886600532
19769,1001,0.025,-0.057232729364934155
19770,1001,0.021,0.023320480885764737
19771,1001,0.012,0.003234432909698347
19772,1001,0.003,0.0494258943094514
19773,1001,0.001,0.07401723175893835
19774,1001,0.021,-0.08400187282500057
19775,1001,0.025,0.08630630043002294
19776,1001,0.01,0.06630760356115625
19777,1001,0.009,0.007864635060826984
19778,1001,0.02,-0.03421067521325797
19779,1001,-0.01,-0.040506706060954335
19780,1001,-0.012,-0.03317095930307649
19781,1001,-0.023,-0.0457425342495991
19782,1001,-0.031,-0.035246397784849094
19783,1001,-0.03,0.08845518285248441
19784,1001,0.001,-0.11192323024919928
19785,1001,0.007,-0.1058365285608753
19786,1001,-0.007,-0.01746041838809729
19787,1001,-0.022,0.034849227504272794
19788,1001,-0.01,-0.12270158555900426
19789,1001,-0.011,-0.1441922807611987
19790,1001,-0.008,-0.1144000441910086
19791,1001,0.007,-0.03612636122272759
19792,1001,0.006,0.03939557473433788
19793,1001,0.01,0.1068319819738173
19794,1001,0.013,0.018091517235026132
19795,1001,0.013,-0.0026893988308639774
19796,1001,0.023,0.18586672885800734
19797,1001,0.02,0.1379563346181127
19798,1001,0.024,0.09645386982742585
19799,1001,0.011,0.082514384797963
19800,1001,0.011,-0.017423502304598583
19801,1001,-0.003,-0.02765298538315595
19802,1001,-0.019,0.001370404407404123
19803,1001,-0.014,-0.04687199847756399
19804,1001,-0.016,-0.023623067607890604
19805,1001,-0.022,-0.02178860341473602
19806,1001,-0.012,-0.13868358268058092
19807,1001,-0.031,-0.03542818484695779
19808,1001,-0.03,0.08307731993903464
19809,1001,-0.038,-0.038690763158103804
19810,1001,-0.017,-0.03688722768767753
19811,1001,-0.014,-0.07459314208503123
19812,1001,-0.022,0.037224715646255256
19813,1001,-0.019,-0.02416113304762261
19814,1001,-0.024,-0.11724604688166854
19815,1001,-0.002,-0.09017461998490053
19816,1001,1.1102230246300001e-17,-0.10810490281696164
19817,1001,0.002,-0.048024259821210814
19818,1001,0.008,-0.07528500781565864
19819,1001,0.01,0.03929213997100691
19820,1001,0.001,0.03689635246199637
19821,1001,0.011,-0.13893967956535266
19822,1001,0.004,-0.04328030190293523
19823,1001,0.012,-0.05163781154684436
26845,1002,0.027,-0.0454657018844104
26846,1002,0.018,-0.08850212873324678
26847,1002,0.044,-0.17251118814663383
26848,1002,0.055,-0.15595996827751596
26849,1002,-0.011,-0.040279911224364175
26850,1002,-0.022,-0.08132702727753732
26851,1002,-0.01,0.013666110590981405
26852,1002,-0.028,-0.0010471675126843896
26853,1002,-0.025,-0.13401493408440357
26854,1002,-0.07,0.0006220702538267883
26855,1002,-0.042,-0.09540206338971022
26856,1002,-0.05,-0.08973900449883024
26857,1002,-0.051,-0.33001043432444377
26858,1002,-0.057,-0.4816335672022188
26859,1002,-0.068,-0.34764910289864187
26860,1002,-0.071,-0.35805270283167595
26861,1002,-0.073,-0.36594019889999796
26862,1002,-0.078,-0.26824001948012
26863,1002,-0.088,-0.3175228735348247
26864,1002,-0.098,-0.269813984648975
26865,1002,-0.092,-0.18697440498204201
26866,1002,-0.08,-0.10462845710475002
26867,1002,-0.076,0.025988837357730686
26868,1002,-0.07,0.0026516735241558995
26869,1002,-0.086,-0.09970843423863615
26870,1002,-0.071,-0.2254531157838641
26871,1002,-0.049,-0.24761872783077618
26872,1002,-0.057,-0.09791093265287387
26873,1002,-0.074,-0.026192425891991868
26874,1002,-0.084,0.19180105726712995
26875,1002,-0.083,0.017082812272370178
26876,1002,-0.062,0.014424582990002134
26877,1002,-0.053,-0.13849297628276486
26878,1002,-0.047,-0.15055889118774374
26879,1002,-0.048,-0.00667601899375201
26880,1002,-0.052,0.015420665830380563
26881,1002,-0.038,-0.004912246997174054
26882,1002,-0.044,0.12137181967273686
26883,1002,-0.048,-0.047215744734723196
26884,1002,-0.045,-0.019049600351115144
26885,1002,-0.047,-0.016793857872724496
26886,1002,-0.038,-0.2627346088977737
26887,1002,-0.033,-0.2658608745169117
26888,1002,-0.017,-0.04172922769026159
26889,1002,-0.019,0.001353830854752075
26890,1002,-0.02,-0.1628725423749142
26891,1002,-0.03,-0.15963667312115706
26892,1002,-0.034,-0.14570299593769262
26893,1002,-0.042,-0.13577471065468874
26894,1002,-0.045,-0.16079831206731512
26895,1002,-0.049,-0.06617324914074471
26896,1002,-0.049,0.0004676587183163536
26897,1002,-0.045,-0.05162337684579069
