,musicId,y_test,SVR
20096,1001,0.212,-0.0400327368412481
20097,1001,0.218,0.10966405872782584
20098,1001,0.204,0.20379063485368248
20099,1001,0.216,0.10810218744646519
20100,1001,0.234,0.03958204550407954
20101,1001,0.22,-0.026697084418606767
20102,1001,0.212,-0.04379193182659755
20103,1001,0.214,-0.09055927553585744
20104,1001,0.206,-0.004864771029633532
20105,1001,0.205,-0.011752775948241003
20106,1001,0.205,-0.036410891380675464
20107,1001,0.203,-0.1594647542490055
20108,1001,0.2,-0.20303751960770774
20109,1001,0.202,-0.10855108466837757
20110,1001,0.203,-0.018677234489055086
20111,1001,0.188,0.016592200070464556
20112,1001,0.179,0.01231627646993064
20113,1001,0.184,0.05973500302291454
20114,1001,0.186,0.014382479453124961
20115,1001,0.185,0.04748533646505895
20116,1001,0.185,-0.07223371745668675
20117,1001,0.183,-0.10093829019491216
20118,1001,0.188,0.005417102622290702
20119,1001,0.185,-0.05445499630284931
20120,1001,0.193,-0.14083350851583917
20121,1001,0.195,-0.15335254634838222
20122,1001,0.188,-0.09200609345710495
20123,1001,0.187,-0.009848226406506701
20124,1001,0.189,0.13655241464088955
20125,1001,0.198,-0.005800609785306301
20126,1001,0.192,0.15904427666673374
20127,1001,0.187,0.0974294015878849
20128,1001,0.187,0.05022491177487512
20129,1001,0.194,0.09064780738294195
20130,1001,0.189,0.1470709037769363
20131,1001,0.195,0.01681051018662297
20132,1001,0.194,-0.07876562583830157
20133,1001,0.194,-0.10239414831280322
20134,1001,0.201,0.023257815819705405
20135,1001,0.199,-0.006871594690460139
20136,1001,0.199,-0.08549607175612126
20137,1001,0.216,-0.09694233290071955
20138,1001,0.225,-0.058948677711167935
20139,1001,0.215,-0.04851989641771284
20140,1001,0.226,0.010884584108235316
20141,1001,0.235,-0.07168012387620051
20142,1001,0.232,-0.07446500909018564
20143,1001,0.226,-0.052662338631977085
20144,1001,0.233,0.010621826208828154
20145,1001,0.227,0.029230745646214005
20146,1001,0.223,-0.0011749637514634446
20147,1001,0.225,0.01435268574820817
20148,1001,0.235,-0.1076940945832747
20149,1001,0.226,-0.0585604501885548
20150,1001,0.221,0.01719127327983286
20151,1001,0.229,0.0031048383741923737
20152,1001,0.22,-0.028543566055475502
20153,1001,0.208,-0.03538586801611124
20154,1001,0.211,-0.02968265074892198
20155,1001,0.208,-0.07330107983509884
27294,1002,0.088,-0.00981245570327155
27295,1002,0.074,-0.0567816646643443
27296,1002,0.066,-0.16383212136739497
27297,1002,0.076,-0.21026325633655643
27298,1002,0.076,-0.3780807699892087
27299,1002,0.077,-0.2437492042245533
27300,1002,0.081,-0.1135190435987863
27301,1002,0.075,-0.24924442889064594
27302,1002,0.02,-0.21091521042932285
27303,1002,0.018,-0.1626465288973504
27304,1002,0.049,-0.18734017208964213
27305,1002,0.07,-0.20798320734087047
27306,1002,0.078,-0.194433328178272
27307,1002,0.061,-0.2848285677030606
27308,1002,0.047,-0.2747329514624453
27309,1002,0.043,-0.1964591070724526
27310,1002,0.049,-0.28773444592037845
27311,1002,0.039,-0.27613870488052983
27312,1002,0.023,-0.2955507517289091
27313,1002,0.015,-0.2572740705737083
27314,1002,0.011,-0.20779986972836592
27315,1002,0.011,-0.2582148257439292
27316,1002,0.011,-0.08093848525236515
27317,1002,0.006,0.012995539436405749
27318,1002,-0.064,-0.08683978512499121
27319,1002,0.007,-0.3187146813734167
27320,1002,-0.013,-0.36166438615220625
27321,1002,-0.035,-0.09634553233335323
27322,1002,-0.063,-0.1230993165348467
27323,1002,-0.068,-0.045904055986455555
27324,1002,-0.071,-0.2782397506900354
27325,1002,-0.085,-0.2519535340480674
27326,1002,-0.089,-0.14221755831483512
27327,1002,-0.068,-0.005253720337474368
27328,1002,-0.053,0.033488834696818
27329,1002,-0.075,-0.08351081184144837
